CP (Province code),CD (District code),CUUS (Unique code of health unit),Latitude,Longitude,CT (Territorial Code),CMB (Code coming from Basic Module),US (Health unit name),CC (Health unit classification code),"CNE (Statistical nucleus code, where data are sent)",FID,CLASSIFICATION,ADMIN1NAME,ADMIN1CODE,ADMIN2NAMES,ADMIN2CODE
1,2,US-MOZ-00015,-14.9153,36.3661,1010214,1010214,Titimane,12,NU-114,517,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00016,-15.0964,36.6125,1010206,1010206,Etatara,12,NU-114,518,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00017,-15.2428,36.5022,1010220,1010220,Muanamunepa,12,NU-114,519,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00018,-14.7803,36.5317,1010218,1010218,Mujawa,12,NU-114,520,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00019,-14.7947,36.8536,1010217,1010217,Lúrio,12,NU-114,521,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00020,-14.8014,36.5331,1010216,1010216,Cuamba,8,NU-114,522,Centro de Saúde Urbano A,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00021,-14.8022,36.5344,1010201,1010201,Cuamba,5,NU-114,523,Hospital Rural,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00022,-14.5444,36.6058,1010215,1010215,Napacala,12,NU-114,524,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00023,-14.9831,36.6164,1010207,1010207,Malapa,12,NU-114,525,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00024,-14.7292,36.6267,1010209,1010209,Mitucué,12,NU-114,526,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00025,-14.8972,36.5289,1010223,1010223,Matias,12,NU-114,527,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00026,-14.8097,36.4944,1010213,1010213,Namicova,12,NU-114,528,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00027,-14.6931,36.9644,1010212,1010212,Muitetere,12,NU-114,529,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00028,-14.8011,36.5989,1010211,1010211,Mucuapa,12,NU-114,530,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,3,US-MOZ-00029,-11.6156,34.9613,1010311,1010311,Wikihi,12,NU-112,531,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00030,-11.7569,35.2074,1010312,1010312,Lupilichi,12,NU-112,532,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00031,-12.9039,35.0496,1010313,1010313,Bandeze,12,NU-112,533,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00032,-12.886,34.7723,1010306,1010306,Melulucas,12,NU-112,534,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00033,-12.6113,34.8329,1010316,1010316,Mechumua,12,NU-112,535,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00034,-12.4239,34.7164,1010310,1010310,Ngôo,12,NU-112,536,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00035,-12.0129,34.9016,1010309,1010309,Ngofi,12,NU-112,537,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00036,-12.6947,34.8088,1010308,1010308,Metangula,11,NU-112,538,Centro de Saúde Rural I,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00037,-12.1402,34.761,1010314,1010314,Cóbuè,12,NU-112,539,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00038,-12.7596,34.9764,1010315,1010315,Maniamba,12,NU-112,540,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00039,-12.335621,34.950662,1010319,1010319,Tulo,12,NU-112,541,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00040,-13.0238,34.9547,1010317,1010317,Liziunga,12,NU-112,542,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,3,US-MOZ-00041,-12.468543,35.003774,1010307,1010307,Messumba,12,NU-112,543,Centro de Saúde Rural II,Niassa,MZ008,Lago,MZ008103
1,4,US-MOZ-00042,-13.316667,35.233333,1010416,1010416,Colongo,12,NU-116,544,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00043,-13.615,35.2566,1010409,1010409,Lione,12,NU-116,545,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00044,-13.1918,35.3146,1010410,1010410,Luisa,12,NU-116,546,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00045,-13.1857,35.1944,1010411,1010411,Malica,12,NU-116,547,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00046,-13.2917,35.4792,1010414,1010414,Mussa,12,NU-116,548,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00047,-13.421551,34.87259,1010413,1010413,Meponda,12,NU-116,549,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00048,-13.3138,35.5326,1010417,1010417,Machumane,12,NU-116,550,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00049,-13.3543,35.4206,1010407,1010407,Chimbonila,12,NU-116,551,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00050,-13.6332,35.033,1010406,1010406,Chala,12,NU-116,552,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00051,-13.32262,35.224927,1010425,1010425,Nbetazigone,12,NU-116,553,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00052,-13.4745,35.2806,1010423,1010423,Machemba,12,NU-116,554,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00053,-13.5462,35.4476,1010408,1010408,Cholue,12,NU-116,555,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00054,-13.2889,35.0499,1010422,1010422,Mbetazigone,12,NU-116,556,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00055,-13.1818,35.1871,1010421,1010421,Magiga,12,NU-116,557,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00056,-13.2742,35.3641,1010412,1010412,Matama,12,NU-116,558,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00057,-13.3323,35.5105,1010415,1010415,Namuanica,12,NU-116,559,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,4,US-MOZ-00058,-13.321246,35.224438,1010418,010104?,Mapaco,12,NU-116,560,Centro de Saúde Rural II,Niassa,MZ008,Lichinga,MZ008104
1,5,US-MOZ-00059,-13.6208,36.0062,1010508,1010508,Nairubi,12,NU-117,561,Centro de Saúde Rural II,Niassa,MZ008,Majune,MZ008105
1,5,US-MOZ-00060,-13.5042,36.4389,1010513,1010513,Riate,12,NU-117,562,Centro de Saúde Rural II,Niassa,MZ008,Majune,MZ008105
1,5,US-MOZ-00061,-12.8474,36.0649,1010512,1010512,Lisombe,12,NU-117,563,Centro de Saúde Rural II,Niassa,MZ008,Majune,MZ008105
1,5,US-MOZ-00062,-13.4737,36.3038,1010511,1010511,Lugenda,12,NU-117,564,Centro de Saúde Rural II,Niassa,MZ008,Majune,MZ008105
1,5,US-MOZ-00063,-13.3583,36.0572,1010509,1010509,Mecualo,12,NU-117,565,Centro de Saúde Rural II,Niassa,MZ008,Majune,MZ008105
1,5,US-MOZ-00064,-13.4753,36.1213,1010507,1010507,Malanga,11,NU-117,566,Centro de Saúde Rural I,Niassa,MZ008,Majune,MZ008105
1,5,US-MOZ-00065,-13.4261,36.1988,1010506,1010506,Luambala,12,NU-117,567,Centro de Saúde Rural II,Niassa,MZ008,Majune,MZ008105
1,5,US-MOZ-00066,-13.3498,36.7427,1010510,1010510,Muaquia,12,NU-117,568,Centro de Saúde Rural II,Niassa,MZ008,Majune,MZ008105
1,6,US-MOZ-00067,-14.3536,35.6486,1010606,1010606,Mandimba,12,NU-118,569,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00068,-14.1453,35.4811,1010613,1010613,N'Tembo,12,NU-118,570,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00069,-14.3175,35.8589,1010607,1010607,Lipúzia,12,NU-118,571,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00070,-14.1269,35.9372,1010612,1010612,Mitande,12,NU-118,572,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00071,-14.353,35.651,1010615,1010615,Lussangasse,12,NU-118,573,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00072,-14.2475,35.625,1010608,1010608,Lissiete,12,NU-118,574,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00073,-14.3764,35.8919,1010609,1010609,Meluluca,12,NU-118,575,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00074,-14.3694,35.7208,1010610,1010610,Mepapa,12,NU-118,576,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,6,US-MOZ-00075,-14.3194,36.2331,1010611,1010611,Mississi,12,NU-118,577,Centro de Saúde Rural II,Niassa,MZ008,Mandimba,MZ008106
1,7,US-MOZ-00076,-13.1978,37.4989,1010706,1010706,Marrupa,6,NU-119,578,Hospital Distrital,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00077,-13.189625,37.505477,1010718,1010718,Yaranca,12,NU-119,579,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00078,-12.7406,37.7212,1010716,1010716,Cumela,12,NU-119,580,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00079,-13.0906,37.5982,1010715,1010715,Mucuaiai,12,NU-119,581,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00080,-13.3966,37.7379,1010709,1010709,Nungo,12,NU-119,582,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00081,-12.8836,37.689,1010707,1010707,Marangira,12,NU-119,583,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00082,-13.19242,37.505889,1010714,010107?,Marrupa,11,NU-119,584,Centro de Saúde Rural I,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00083,-13.191461,37.504829,1010713,010107?,Mutaparata,12,NU-119,585,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00084,-13.189912,37.505229,1010711,010107?,Tumpue,12,NU-119,586,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00085,-13.189708,37.505219,1010712,010107?,Apes,12,NU-119,587,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,7,US-MOZ-00086,-13.190017,37.505696,1010710,010107?,Messenguesse,12,NU-119,588,Centro de Saúde Rural II,Niassa,MZ008,Marrupa,MZ008107
1,8,US-MOZ-00087,-13.8771,37.1609,1010809,1010809,Muapula,12,NU-115,589,Centro de Saúde Rural II,Niassa,MZ008,Maua,MZ008108
1,8,US-MOZ-00088,-14.1597,37.4464,1010822,1010822,Queta,12,NU-115,590,Centro de Saúde Rural II,Niassa,MZ008,Maua,MZ008108
1,8,US-MOZ-00089,-13.78,37.1744,1010816,1010816,Muhumbua,12,NU-115,591,Centro de Saúde Rural II,Niassa,MZ008,Maua,MZ008108
1,8,US-MOZ-00090,-13.6697,37.3367,1010810,1010810,Mugoma,12,NU-115,592,Centro de Saúde Rural II,Niassa,MZ008,Maua,MZ008108
1,8,US-MOZ-00091,-14.3103,37.5625,1010806,1010806,Maiaca,12,NU-115,593,Centro de Saúde Rural II,Niassa,MZ008,Maua,MZ008108
1,8,US-MOZ-00092,-13.8681,37.16,1010807,1010807,Maúa,11,NU-115,594,Centro de Saúde Rural I,Niassa,MZ008,Maua,MZ008108
1,8,US-MOZ-00093,-13.928738,37.13926,1010813,1010813,Muhoco,12,NU-115,595,Centro de Saúde Rural II,Niassa,MZ008,Maua,MZ008108
1,8,US-MOZ-00094,-13.930127,37.13717,1010811,010108?,Mugoma,12,NU-115,596,Centro de Saúde Rural II,Niassa,MZ008,Maua,MZ008108
1,9,US-MOZ-00095,-12.5673,36.2638,1010906,1010906,Mavago,11,NU-111,597,Centro de Saúde Rural I,Niassa,MZ008,Mavago,MZ008109
1,9,US-MOZ-00096,-12.3705,36.1173,1010909,1010909,Milepa,12,NU-111,598,Centro de Saúde Rural II,Niassa,MZ008,Mavago,MZ008109
1,9,US-MOZ-00097,-12.5667,36.5378,1010908,1010908,Nsawize,12,NU-111,599,Centro de Saúde Rural II,Niassa,MZ008,Mavago,MZ008109
1,9,US-MOZ-00098,-12.48,36.0606,1010907,1010907,Nkalapa,12,NU-111,600,Centro de Saúde Rural II,Niassa,MZ008,Mavago,MZ008109
1,10,US-MOZ-00099,-15.3247,35.9019,1011007,1011007,Chissaua,12,NU-110,601,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00100,-15.4433,35.9856,1011020,1011020,Muhurune,12,NU-110,602,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00101,-15.0303,36.0267,1011021,1011021,Kumulike,12,NU-110,1,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00102,-15.2897,35.9478,1011019,1011019,Candulo,12,NU-110,2,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00103,-15.105,35.9575,1011018,1011018,Nanhumba,12,NU-110,3,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00104,-14.9519,36.1639,1011017,1011017,Caronga,12,NU-110,4,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00105,-15.2686,36.0014,1011010,1011010,Mecomera,12,NU-110,5,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00106,-14.6508,35.9372,1011008,1011008,Chiúta,12,NU-110,6,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00107,-15.3269,36.1317,1011015,1011015,Chamba,12,NU-110,7,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00108,-15.2867,36.3508,1011013,1011013,Sales,12,NU-110,8,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00109,-15.1947,35.87,1011011,1011011,Mecanhelas,11,NU-110,9,Centro de Saúde Rural I,Niassa,MZ008,Mecanhelas,MZ008110
1,10,US-MOZ-00110,-14.9881,35.8917,1011009,1011009,Entre-Lagos,12,NU-110,10,Centro de Saúde Rural II,Niassa,MZ008,Mecanhelas,MZ008110
1,11,US-MOZ-00111,-11.3392,38.3067,1011106,1011106,Gomba,12,NU-109,11,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00112,-12.143271,37.670568,1011120,1011120,Manhir,12,NU-109,12,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00113,-11.7928,38.0303,1011111,1011111,Naulala,12,NU-109,13,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00114,-12.4586,37.6614,1011107,1011107,Lugenda,12,NU-109,14,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00115,-12.147135,37.667281,1011108,1011108,Macalange,12,NU-109,15,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00116,-12.1964,38.015,1011109,1011109,Mbamba,12,NU-109,16,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00117,-12.1164,37.6658,1011110,1011110,Mecula,11,NU-109,17,Centro de Saúde Rural I,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00118,-12.147142,37.669489,1011117,1011117,Mucoria,12,NU-109,18,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00119,-12.2775,37.6611,1011115,1011115,Ntimbo,12,NU-109,19,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00120,-12.0736,37.0164,1011113,1011113,Mantondovela,12,NU-109,20,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,11,US-MOZ-00121,-12.143642,37.670511,1011114,010111?,Chamba,12,NU-109,21,Centro de Saúde Rural II,Niassa,MZ008,Mecula,MZ008111
1,12,US-MOZ-00122,-14.4628,36.895,1011206,1011206,Muhemela,12,NU-104,22,Centro de Saúde Rural II,Niassa,MZ008,Metarica,MZ008112
1,12,US-MOZ-00123,-14.3625,37.2564,1011211,1011211,Nacumua,12,NU-104,23,Centro de Saúde Rural II,Niassa,MZ008,Metarica,MZ008112
1,12,US-MOZ-00124,-14.3933,36.7344,1011208,1011208,Mecunica,12,NU-104,24,Centro de Saúde Rural II,Niassa,MZ008,Metarica,MZ008112
1,12,US-MOZ-00125,-14.320264,36.792722,1011212,1011212,Mepuera,12,NU-104,25,Centro de Saúde Rural II,Niassa,MZ008,Metarica,MZ008112
1,12,US-MOZ-00126,-14.2181,36.9206,1011210,1011210,Namicunde,12,NU-104,26,Centro de Saúde Rural II,Niassa,MZ008,Metarica,MZ008112
1,12,US-MOZ-00127,-14.3322,36.7967,1011209,1011209,Metarica,11,NU-104,27,Centro de Saúde Rural I,Niassa,MZ008,Metarica,MZ008112
1,12,US-MOZ-00128,-14.323325,36.79168,1011213,1011213,Niputa,12,NU-104,28,Centro de Saúde Rural II,Niassa,MZ008,Metarica,MZ008112
1,12,US-MOZ-00129,-14.320539,36.792972,1011214,010112?,Cuvir,12,NU-104,29,Centro de Saúde Rural II,Niassa,MZ008,Metarica,MZ008112
1,13,US-MOZ-00130,-13.0854,35.6419,1011308,1011308,Muembe,11,NU-108,30,Centro de Saúde Rural I,Niassa,MZ008,Muembe,MZ008113
1,13,US-MOZ-00131,-12.949,35.7464,1011310,1011310,Chuanjota,12,NU-108,31,Centro de Saúde Rural II,Niassa,MZ008,Muembe,MZ008113
1,13,US-MOZ-00132,-13.0054,35.5508,1011309,1011309,Nzizi,12,NU-108,32,Centro de Saúde Rural II,Niassa,MZ008,Muembe,MZ008113
1,13,US-MOZ-00133,-12.8905,35.7476,1011306,1011306,Chiconono,12,NU-108,33,Centro de Saúde Rural II,Niassa,MZ008,Muembe,MZ008113
1,13,US-MOZ-00134,-13.0897,35.6445,1011307,1011307,Lutuezi,12,NU-108,34,Centro de Saúde Rural II,Niassa,MZ008,Muembe,MZ008113
1,14,US-MOZ-00135,-13.9008,35.4378,1011409,1011409,Massangulo,11,NU-113,35,Centro de Saúde Rural I,Niassa,MZ008,Ngauma,MZ008114
1,14,US-MOZ-00136,-14.0247,35.3656,1011406,1011406,Chissimbir,12,NU-113,36,Centro de Saúde Rural II,Niassa,MZ008,Ngauma,MZ008114
1,14,US-MOZ-00137,-13.7772,35.5294,1011407,1011407,Itepela,12,NU-113,37,Centro de Saúde Rural II,Niassa,MZ008,Ngauma,MZ008114
1,14,US-MOZ-00138,-13.7489,35.6169,1011408,1011408,Lupalane,12,NU-113,38,Centro de Saúde Rural II,Niassa,MZ008,Ngauma,MZ008114
1,14,US-MOZ-00139,-13.798806,35.653268,1011413,1011413,Lusanga,12,NU-113,39,Centro de Saúde Rural II,Niassa,MZ008,Ngauma,MZ008114
1,14,US-MOZ-00140,-13.7631,35.3108,1011412,1011412,Chiguaja,12,NU-113,40,Centro de Saúde Rural II,Niassa,MZ008,Ngauma,MZ008114
1,14,US-MOZ-00141,-14.0947,35.4711,1011411,1011411,Luelele,12,NU-113,41,Centro de Saúde Rural II,Niassa,MZ008,Ngauma,MZ008114
1,14,US-MOZ-00142,-13.8492,35.2892,1011410,1011410,N'Gaúma,12,NU-113,42,Centro de Saúde Rural II,Niassa,MZ008,Ngauma,MZ008114
1,15,US-MOZ-00143,-13.9714,37.8933,1011508,1011508,Napalave,12,NU-107,43,Centro de Saúde Rural II,Niassa,MZ008,Nipepe,MZ008115
1,15,US-MOZ-00144,-14.031712,37.85521,1011513,1011513,Metarica-Lurio,12,NU-107,44,Centro de Saúde Rural II,Niassa,MZ008,Nipepe,MZ008115
1,15,US-MOZ-00145,-14.032645,37.855418,1011510,1011510,Muluco,12,NU-107,45,Centro de Saúde Rural II,Niassa,MZ008,Nipepe,MZ008115
1,15,US-MOZ-00146,-13.7906,37.9356,1011506,1011506,Manlia,12,NU-107,47,Centro de Saúde Rural II,Niassa,MZ008,Nipepe,MZ008115
1,15,US-MOZ-00147,-14.1333,38.3081,1011509,1011509,Cheiacheia,12,NU-107,48,Centro de Saúde Rural II,Niassa,MZ008,Nipepe,MZ008115
1,15,US-MOZ-00148,-14.0311,37.8533,1011507,1011507,Nipepe,11,NU-107,49,Centro de Saúde Rural I,Niassa,MZ008,Nipepe,MZ008115
1,15,US-MOZ-00149,-14.031896,37.854976,1011514,010115?,Natil,12,NU-107,50,Centro de Saúde Rural II,Niassa,MZ008,Nipepe,MZ008115
1,16,US-MOZ-00150,-13.0793,35.2075,1011613,1011613,Mbemba,12,NU-106,51,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00151,-12.978,35.1524,1011616,1011616,Chitula,12,NU-106,52,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00152,-12.9451,35.4264,1011606,1011606,7 De Setembro,11,NU-106,53,Centro de Saúde Rural I,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00153,-13.0403,35.2933,1011614,1011614,Nansinhenje,12,NU-106,54,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00154,-12.502005,35.460898,1011608,1011608,Lumbiza,12,NU-106,55,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00155,-12.356,35.3809,1011612,1011612,Maumbica,12,NU-106,56,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00156,-13.0116,35.1869,1011611,1011611,Malemia,12,NU-106,57,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00157,-12.5939,35.2705,1011610,1011610,Madjedje(Ii Congresso),12,NU-106,58,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00158,-12.4889,35.4248,1011609,1011609,Macaloge,12,NU-106,59,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00159,-13.1279,35.1758,1011607,1011607,Licole,12,NU-106,60,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
1,16,US-MOZ-00160,-12.8777,35.4115,1011615,1011615,Unango Velho,12,NU-106,61,Centro de Saúde Rural II,Niassa,MZ008,Sanga,MZ008116
2,1,US-MOZ-00161,-12.9611,40.5071,1020107,1020107,B. Ingonane,10,NU-130,62,Centro de Saúde Urbano C,Cabo Delgado,MZ001,Cidade De Pemba,MZ001201
2,1,US-MOZ-00162,-12.9619,40.5089,1020108,1020108,Natite,9,NU-130,63,Centro de Saúde Urbano B,Cabo Delgado,MZ001,Cidade De Pemba,MZ001201
2,1,US-MOZ-00163,-13.0225,40.5656,1020151,1020151,Chuiba,10,NU-130,64,Centro de Saúde Urbano C,Cabo Delgado,MZ001,Cidade De Pemba,MZ001201
2,1,US-MOZ-00164,-12.9625,40.4867,1020113,1020113,Paquite,10,NU-130,65,Centro de Saúde Urbano C,Cabo Delgado,MZ001,Cidade De Pemba,MZ001201
2,1,US-MOZ-00165,-13.0597,40.525,1020112,1020112,B. Muxara,10,NU-130,66,Centro de Saúde Urbano C,Cabo Delgado,MZ001,Cidade De Pemba,MZ001201
