uniqueid,deviceid,date,starttime,endtime,lat,lon,altitude,precision,grid,photo,severity,estpop,pointofinterest
50849685,357083077030356,3/25/2019,2019-03-25T09:53:47.905+02,2019-03-25T09:55:06.687+02,-19.9699366666667,34.1557483333333,196.8,3.9,D3,1553500484229.jpg,Serious,"Between 101 and 1,000",House(s)
50849484,357083077030356,3/25/2019,2019-03-25T09:51:12.527+02,2019-03-25T09:53:44.859+02,-19.958455,34.1819716666667,-400.1,5.3,D4,1553500407119.jpg,Of concern,None,Other type of infrastructure
50847853,357083077030356,3/25/2019,2019-03-25T09:43:12.149+02,2019-03-25T09:43:40.159+02,-19.9567966666667,34.28175,176.9,6.2,D4,1553499807627.jpg,No / Minor,None,Bridge
50847730,357083077030356,3/25/2019,2019-03-25T09:40:56.548+02,2019-03-25T09:42:50.288+02,-19.970955,34.3039416666667,180.2,4.8,D4,1553499744234.jpg,No / Minor,Less than 100,Other type of infrastructure
50847654,357083077030356,3/25/2019,2019-03-25T09:10:26.243+02,2019-03-25T09:15:41.183+02,-19.9948866666667,34.5583366666667,91.7,8.7,D5,1553498108346.jpg,Serious,"Between 101 and 1,000",House(s)
50843277,357083077030356,3/25/2019,2019-03-25T09:39:34.097+02,2019-03-25T09:40:45.400+02,-20.01356,34.32502,181,4.6,D4,1553499633029.jpg,No / Minor,Less than 100,House(s)
50843045,357083077030356,3/25/2019,2019-03-25T09:17:05.111+02,2019-03-25T09:19:25.774+02,-19.9661866666667,34.5048816666667,78.2,8.4,D5,1553498347243.jpg,No / Minor,Less than 100,House(s)
50842891,357083077030356,3/25/2019,2019-03-25T09:15:44.639+02,2019-03-25T09:16:31.814+02,-19.97462,34.5559983333333,80.2,6.5,D5,1553498175924.jpg,Serious,"Between 101 and 1,000",House(s)
51416135,357083077030448,3/29/2019,2019-03-29T16:13:11.744+02,2019-03-29T16:14:56.011+02,-19.6073283333333,34.3931333333333,230.3,4.4,F5,NA,No / Minor,None,Building
50842430,357083079600768,3/25/2019,2019-03-25T10:14:31.700+02,2019-03-25T10:16:11.961+02,-19.9191,33.8233566666667,208,5,D1,1553501739947.jpg,Of concern,Less than 100,House(s)
50969119,357083077029861,3/26/2019,2019-03-26T10:06:47.022+02,2019-03-26T10:08:39.022+02,-20.09071,34.7195883333333,340.3,3.4,B5,1553587627374.jpg,Of concern,Less than 100,None
50969062,357083077030455,3/26/2019,2019-03-26T10:25:38.296+02,2019-03-26T10:26:03.500+02,-20.5961366666667,34.7682033333333,182,2.3,A6,1553588750205.jpg,No / Minor,None,None
50851156,357083077030356,3/25/2019,2019-03-25T10:17:23.939+02,2019-03-25T10:52:34.549+02,-20.0449916666667,33.8088583333333,225.6,5.2,D2,1553503939669.jpg,No / Minor,None,None
50968944,357083077030455,3/26/2019,2019-03-26T10:24:19.406+02,2019-03-26T10:25:14.517+02,-20.5610133333333,34.7802516666667,167.3,2.5,A7,1553588677448.jpg,Of concern,"Between 101 and 1,000",House(s)
50857867,357083077030356,3/25/2019,2019-03-25T11:42:11.974+02,2019-03-25T11:43:07.990+02,-19.87729,34.59221,200.2,9.1,D6,1553506970437.jpg,Severe,"Between 1,001 and 5,000",Building
50857712,357083077030356,3/25/2019,2019-03-25T11:41:27.044+02,2019-03-25T11:41:53.968+02,-19.8869833333333,34.5947766666667,190.9,5.8,D6,1553506901468.jpg,Severe,"Between 1,001 and 5,000",House(s)
50857066,357083077030356,3/25/2019,2019-03-25T11:37:34.081+02,2019-03-25T11:38:28.957+02,-19.870055,34.478825,201.8,5,D5,1553506697809.jpg,Serious,None,Other type of infrastructure
50856989,357083077030356,3/25/2019,2019-03-25T11:36:45.070+02,2019-03-25T11:37:24.694+02,-19.8617816666667,34.46602,209.7,4.9,D5,1553506631315.jpg,Serious,"Between 1,001 and 5,000",House(s)
50856885,357083077030356,3/25/2019,2019-03-25T11:34:04.952+02,2019-03-25T11:36:30.687+02,-19.8686383333333,34.4455716666667,249.4,4.6,D5,1553506573542.jpg,Severe,"Between 1,001 and 5,000",Spontaneous sttlement
50856683,357083077030356,3/25/2019,2019-03-25T11:29:46.749+02,2019-03-25T11:33:44.944+02,-19.88812,34.354155,251.6,4.7,D5,NA,Of concern,None,Other type of infrastructure
50856659,357083077030356,3/25/2019,2019-03-25T11:28:34.813+02,2019-03-25T11:29:43.377+02,-19.891755,34.231045,251.9,4.9,D4,1553506164865.jpg,No / Minor,Less than 100,Other type of infrastructure
50968891,357083077030455,3/26/2019,2019-03-26T10:23:36.417+02,2019-03-26T10:24:12.592+02,-20.542675,34.76622,176,2.5,A6,1553588635839.jpg,Of concern,Less than 100,House(s)
51029361,357083079604919,3/26/2019,2019-03-26T12:18:57.877+02,2019-03-26T12:19:38.871+02,-20.5222433333333,33.3090483333333,478.1,4.8,A98,1553595555625.jpg,No / Minor,None,None
50856383,357083077030356,3/25/2019,2019-03-25T11:10:40.138+02,2019-03-25T11:21:08.632+02,-19.8212683333333,33.9827866666667,294.3,5.9,D3,1553505652821.jpg,Serious,"Between 101 and 1,000",House(s)
50856269,357083077030356,3/25/2019,2019-03-25T11:07:55.802+02,2019-03-25T11:08:38.259+02,-19.9275366666667,33.6672333333333,266.5,5,D1,1553504897244.jpg,Serious,"Between 101 and 1,000",Spontaneous sttlement
50856084,357083077030356,3/25/2019,2019-03-25T11:04:34.755+02,2019-03-25T11:05:16.376+02,-19.9144166666667,33.587235,253,9.5,D1,1553504690091.jpg,Of concern,"Between 101 and 1,000",House(s)
50968838,357083077030455,3/26/2019,2019-03-26T10:22:15.185+02,2019-03-26T10:23:10.109+02,-20.5234933333333,34.7393916666667,161.8,2.4,A6,1553588571175.jpg,Serious,"Between 101 and 1,000",House(s)
51258288,357083079604919,3/28/2019,2019-03-28T10:21:10.490+02,2019-03-28T10:22:45.636+02,-19.380025,34.0988466666667,190.5,4.8,H3,1553761335644.jpg,Of concern,Less than 100,House(s)
50970023,357083077030455,3/26/2019,2019-03-26T10:27:35.250+02,2019-03-26T10:27:54.907+02,-20.554775,34.71476,206.7,2.5,A6,1553588864923.jpg,No / Minor,None,None
50969817,357083077030455,3/26/2019,2019-03-26T10:27:01.380+02,2019-03-26T10:27:22.599+02,-20.5710166666667,34.7286883333333,228.9,2.4,A6,1553588831932.jpg,No / Minor,None,None
50968570,357083077030455,3/26/2019,2019-03-26T10:21:18.322+02,2019-03-26T10:21:57.148+02,-20.5220716666667,34.752495,166.6,2.9,A6,1553588491964.jpg,Serious,"Between 101 and 1,000",House(s)
50968516,357083077029861,3/26/2019,2019-03-26T10:44:02.484+02,2019-03-26T10:52:24.040+02,-20.5493283333333,34.4021883333333,337.2,4.4,A4,1553590324681.jpg,No / Minor,None,None
50968505,357083077030455,3/26/2019,2019-03-26T10:19:18.320+02,2019-03-26T10:19:49.772+02,-20.4894933333333,34.7141,152.3,2.3,A6,1553588371478.jpg,Of concern,"Between 101 and 1,000",House(s)
50968402,357083077030455,3/26/2019,2019-03-26T10:18:20.710+02,2019-03-26T10:19:04.187+02,-20.456195,34.7152583333333,269.1,2.7,A6,1553588323410.jpg,Of concern,"Between 101 and 1,000",House(s)
50968364,357083077029861,3/26/2019,2019-03-26T10:42:02.944+02,2019-03-26T10:43:42.427+02,-20.5050183333333,34.6226316666667,197.6,6,A6,1553589802424.jpg,No / Minor,None,None
50968332,357083077030455,3/26/2019,2019-03-26T10:17:12.757+02,2019-03-26T10:18:14.835+02,-20.4374616666667,34.6841783333333,333.9,2.7,A6,1553588245746.jpg,Of concern,"Between 101 and 1,000",House(s)
50968314,357083077029861,3/26/2019,2019-03-26T10:38:59.733+02,2019-03-26T10:39:36.724+02,-20.3527633333333,34.6080066666667,223,4.4,B6,1553589555085.jpg,Of concern,Less than 100,House(s)
50968297,357083077030455,3/26/2019,2019-03-26T10:15:29.629+02,2019-03-26T10:15:57.864+02,-20.3879366666667,34.6794733333333,329.1,2.3,B6,1553588144990.jpg,No / Minor,Less than 100,None
50968174,357083077029861,3/26/2019,2019-03-26T10:36:42.543+02,2019-03-26T10:37:40.291+02,-20.277155,34.6087916666667,188.4,3.1,B6,1553589427466.jpg,Serious,None,None
50968022,357083077029861,3/26/2019,2019-03-26T10:35:28.035+02,2019-03-26T10:36:02.507+02,-20.2811316666667,34.6469583333333,196.2,4.2,A6,1553589343240.jpg,Serious,Less than 100,House(s)
50968000,357083077030455,3/26/2019,2019-03-26T10:14:37.874+02,2019-03-26T10:15:11.442+02,-20.3604666666667,34.689925,325.3,2.3,B6,1553588096112.jpg,Of concern,Less than 100,House(s)
50967281,357083077029861,3/26/2019,2019-03-26T10:19:59.193+02,2019-03-26T10:21:54.075+02,-20.516155,34.74883,201.3,3.3,A6,1553588478795.jpg,Serious,"Between 101 and 1,000",House(s)
50967866,357083077029861,3/26/2019,2019-03-26T10:34:32.481+02,2019-03-26T10:35:13.690+02,-20.3105933333333,34.6331366666667,176.9,3.8,B6,1553589296874.jpg,Serious,Less than 100,House(s)
50967855,357083077030455,3/26/2019,2019-03-26T10:12:55.818+02,2019-03-26T10:14:33.553+02,-20.331965,34.7009116666667,328.7,2.6,B6,1553588059067.jpg,No / Minor,None,None
50967179,357083077029861,3/26/2019,2019-03-26T10:19:09.809+02,2019-03-26T10:19:55.324+02,-20.48663,34.7156833333333,163.9,3.5,A6,1553588373489.jpg,Serious,"Between 101 and 1,000",House(s)
50967769,357083077029861,3/26/2019,2019-03-26T10:33:36.926+02,2019-03-26T10:34:10.946+02,-20.3456483333333,34.6246866666667,186.3,4.9,J6,1553589230122.jpg,Of concern,Less than 100,None
50967116,357083077029861,3/26/2019,2019-03-26T10:15:27.491+02,2019-03-26T10:18:37.059+02,-20.4365166666667,34.685865,327.6,3,A6,1553588286225.jpg,Serious,"Between 101 and 1,000",House(s)
50967029,357083077029861,3/26/2019,2019-03-26T10:11:56.792+02,2019-03-26T10:15:24.472+02,-20.3372633333333,34.6987966666667,323,3.2,B6,1553588097072.jpg,Of concern,Less than 100,House(s)
50966893,357083077029861,3/26/2019,2019-03-26T10:08:48.373+02,2019-03-26T10:11:47.930+02,-20.2321083333333,34.7395533333333,338.9,4.3,B6,1553587889193.jpg,No / Minor,None,None
50760866,357083077029861,3/24/2019,2019-03-24T16:04:33.515+02,2019-03-24T16:05:07.267+02,-19.492645,35.0961783333333,135.5,2.1,F8,1553436286518.jpg,No / Minor,Less than 100,House(s)
50967685,357083077029861,3/26/2019,2019-03-26T10:32:11.376+02,2019-03-26T10:32:57.844+02,-20.3941916666667,34.6353166666667,175,3.2,B6,1553589157573.jpg,Of concern,Less than 100,House(s)
50967553,357083077030455,3/26/2019,2019-03-26T10:08:27.733+02,2019-03-26T10:12:52.880+02,-20.2564816666667,34.7306066666667,317.3,4.5,B6,1553587958469.jpg,Of concern,Less than 100,None
50967574,357083077029861,3/26/2019,2019-03-26T10:28:43.024+02,2019-03-26T10:29:19.061+02,-20.5181633333333,34.6859166666667,185.4,3.4,A6,1553588939141.jpg,Of concern,Less than 100,House(s)
50967518,357083077029861,3/26/2019,2019-03-26T10:26:31.556+02,2019-03-26T10:27:12.130+02,-20.5839383333333,34.7394866666667,225.6,3,A6,1553588805835.jpg,Of concern,None,None
50967495,357083077030455,3/26/2019,2019-03-26T10:05:08.172+02,2019-03-26T10:07:39.191+02,-20.07083,34.712975,450.3,4.6,B6,NA,Serious,"Between 101 and 1,000",House(s)
50967443,357083077029861,3/26/2019,2019-03-26T10:24:32.954+02,2019-03-26T10:25:32.917+02,-20.5659166666667,34.783635,163.4,3.1,A7,1553588712878.jpg,Serious,"Between 101 and 1,000",House(s)
50856170,357083077030356,3/25/2019,2019-03-25T11:05:58.273+02,2019-03-25T11:06:25.635+02,-19.92731,33.6080166666667,256.3,6.6,D1,1553504773625.jpg,Of concern,"Between 101 and 1,000",House(s)
50856320,357083077030356,3/25/2019,2019-03-25T11:09:42.324+02,2019-03-25T11:10:25.401+02,-19.9341683333333,33.6722816666667,256.7,7.2,D1,1553505004618.jpg,Severe,"Between 101 and 1,000",Spontaneous sttlement
50856513,357083077030356,3/25/2019,2019-03-25T11:21:25.617+02,2019-03-25T11:22:19.576+02,-19.8152983333333,34.01706,249.7,4.8,D3,1553505725054.jpg,Of concern,Less than 100,House(s)
50856562,357083077030356,3/25/2019,2019-03-25T11:22:30.524+02,2019-03-25T11:27:40.275+02,-19.864895,34.185755,256.3,5,D4,1553506045469.jpg,No / Minor,Less than 100,House(s)
50706873,357083077029945,3/24/2019,2019-03-24T01:01:01.927+02,2019-03-24T01:02:31.484+02,-19.84651,34.888025,11.4,5.1,E4,1553382128572.jpg,Serious,"Between 101 and 1,000",Airport / Airfield / Landing strip
50738429,357083077029945,3/24/2019,2019-03-24T11:01:11.049+02,2019-03-24T11:04:17.242+02,-19.7189266666667,34.8697716666667,229.1,4.8,F6,1553418219207.jpg,Serious,None,Building
50738487,357083077029945,3/24/2019,2019-03-24T11:13:38.732+02,2019-03-24T11:14:52.041+02,-19.3547233333333,34.6224233333333,261.6,2.6,H6,1553418835914.jpg,Serious,None,House(s)
50738520,357083077029945,3/24/2019,2019-03-24T11:18:33.560+02,2019-03-24T11:20:00.662+02,-19.2547533333333,34.4779066666667,140.4,2.5,H5,1553419132235.jpg,Severe,Less than 100,Building
50738558,357083079604919,3/24/2019,2019-03-24T00:30:42.501+02,2019-03-24T12:01:27.628+02,-19.84656,34.8880866666667,64.4,4.6,A6,1553380378970.jpg,Of concern,"Between 101 and 1,000",Spontaneous sttlement
50738652,357083079604919,3/24/2019,2019-03-24T11:21:36.940+02,2019-03-24T11:30:32.384+02,-19.1609166666667,34.437555,141.9,4.6,I5,1553419755244.jpg,Of concern,"Between 101 and 1,000",House(s)
50738803,357083079604919,3/24/2019,2019-03-24T11:31:19.967+02,2019-03-24T12:01:45.678+02,-18.9290433333333,34.367255,252.1,4.8,J5,1553420104145.jpg,No / Minor,None,House(s)
50738881,357083079604919,3/24/2019,2019-03-24T11:35:46.049+02,2019-03-24T11:50:52.303+02,-18.8086733333333,34.6639333333333,306.8,4.9,J6,1553420745995.jpg,No / Minor,Less than 100,Critical Incident
50738890,357083077029945,3/24/2019,2019-03-24T11:22:48.414+02,2019-03-24T11:23:26.769+02,-19.1553683333333,34.4028583333333,172,1.9,I5,1553419385430.jpg,Of concern,Less than 100,House(s)
50738987,357083077029945,3/24/2019,2019-03-24T11:24:30.129+02,2019-03-24T11:25:13.428+02,-19.1416016666667,34.3626183333333,128.3,2.2,I5,1553419492791.jpg,Of concern,"Between 101 and 1,000",House(s)
50739016,357083079604919,3/24/2019,2019-03-24T11:50:55.500+02,2019-03-24T11:55:38.982+02,-18.969335,34.6656566666667,319.9,4.9,I6,1553421318410.jpg,No / Minor,None,Critical Incident
50739085,357083079604919,3/24/2019,2019-03-24T11:58:48.796+02,2019-03-24T12:00:24.243+02,-19.1780516666667,34.66876,300,4.4,H6,1553421580393.jpg,No / Minor,Less than 100,Critical Incident
50739125,357083079604919,3/24/2019,2019-03-24T12:02:19.954+02,2019-03-24T12:09:24.200+02,-19.2675933333333,34.668405,298.4,4.9,H6,1553422033010.jpg,No / Minor,"Between 101 and 1,000",Critical Incident
50739183,357083079604919,3/24/2019,2019-03-24T12:09:34.213+02,2019-03-24T12:18:36.451+02,-19.3013683333333,34.51322,198.7,4.6,H5,1553422686421.jpg,Severe,"Between 101 and 1,000",Critical Incident
50739249,357083079604919,3/24/2019,2019-03-24T12:18:50.733+02,2019-03-24T12:22:57.221+02,-19.3753566666667,34.40594,115.3,4.6,G5,1553422921364.jpg,Of concern,"Between 1,001 and 5,000",Critical Incident
50739251,357083077029945,3/24/2019,2019-03-24T11:26:12.729+02,2019-03-24T11:26:47.469+02,-19.0889666666667,34.3638316666667,167.9,2,I5,1553419593328.jpg,Of concern,"Between 101 and 1,000",House(s)
50740444,357083079604919,3/24/2019,2019-03-24T12:24:58.992+02,2019-03-24T12:34:25.968+02,-19.3957466666667,34.472315,114.4,4.3,G6,1553423549464.jpg,Severe,"Between 1,001 and 5,000",Critical Incident
50741029,357083077029945,3/24/2019,2019-03-24T11:30:35.986+02,2019-03-24T11:32:15.525+02,-18.9550816666667,34.368175,236.1,1.9,J5,1553419902762.jpg,Serious,None,Road
50741068,357083077029945,3/24/2019,2019-03-24T11:33:02.354+02,2019-03-24T11:33:34.717+02,-18.8730733333333,34.3686416666667,254.3,2.1,J5,1553419998061.jpg,Serious,None,None
50741115,357083077029945,3/24/2019,2019-03-24T11:34:11.199+02,2019-03-24T11:35:07.602+02,-18.8378933333333,34.36781,214.6,2.1,J5,1553420085097.jpg,No / Minor,None,None
50741156,357083077029945,3/24/2019,2019-03-24T11:36:38.672+02,2019-03-24T11:37:15.060+02,-18.7950366666667,34.405205,174.3,2.3,J5,1553420216225.jpg,No / Minor,None,None
50741215,357083077029945,3/24/2019,2019-03-24T11:38:52.889+02,2019-03-24T11:39:25.942+02,-18.7898333333333,34.4776283333333,164.1,2,J5,1553420347057.jpg,No / Minor,None,None
50742815,357083077029945,3/24/2019,2019-03-24T11:21:44.500+02,2019-03-24T11:22:16.893+02,-19.1605883333333,34.4369366666667,139.5,2.2,I5,1553419322393.jpg,Serious,Less than 100,Building
50742850,357083077029945,3/24/2019,2019-03-24T11:25:26.978+02,2019-03-24T11:25:58.821+02,-19.1159216666667,34.3631083333333,142.8,2.1,I5,1553419540993.jpg,Of concern,Less than 100,House(s)
50743097,357083077029945,3/24/2019,2019-03-24T11:28:32.514+02,2019-03-24T11:29:09.888+02,-19.0172433333333,34.36765,172.7,2.2,I5,1553419729599.jpg,Of concern,Less than 100,House(s)
50743450,357083077029945,3/24/2019,2019-03-24T11:42:13.775+02,2019-03-24T11:42:50.982+02,-18.7865166666667,34.5924133333333,206.2,2.2,J6,1553420548487.jpg,No / Minor,None,None
50743508,357083077029945,3/24/2019,2019-03-24T11:43:46.110+02,2019-03-24T11:44:12.771+02,-18.7840383333333,34.6425133333333,239.3,1.9,J6,1553420638551.jpg,No / Minor,None,None
50743607,357083077029945,3/24/2019,2019-03-24T11:45:09.787+02,2019-03-24T11:45:36.225+02,-18.8070066666667,34.6639116666667,306.9,1.9,J6,1553420723115.jpg,No / Minor,None,None
50743704,357083077029945,3/24/2019,2019-03-24T11:46:36.532+02,2019-03-24T11:47:05.450+02,-18.848065,34.6646433333333,298.3,2,J6,1553420812806.jpg,No / Minor,None,None
50743774,357083077029945,3/24/2019,2019-03-24T11:50:08.665+02,2019-03-24T11:50:37.342+02,-18.9454366666667,34.6652,291.2,2,J6,1553421019601.jpg,No / Minor,None,None
50743948,357083077029945,3/24/2019,2019-03-24T11:50:51.402+02,2019-03-24T11:51:25.149+02,-18.9654516666667,34.6655666666667,312.4,1.8,I6,1553421065194.jpg,No / Minor,None,None
50744059,357083077029945,3/24/2019,2019-03-24T11:54:55.976+02,2019-03-24T11:55:27.750+02,-19.0746016666667,34.6674216666667,307.7,1.8,I6,1553421309032.jpg,No / Minor,None,None
50744158,357083077029945,3/24/2019,2019-03-24T11:55:44.479+02,2019-03-24T11:56:15.118+02,-19.0955783333333,34.66707,365.3,1.8,I6,1553421359058.jpg,No / Minor,None,None
50744534,357083077029945,3/24/2019,2019-03-24T11:57:18.002+02,2019-03-24T11:57:40.546+02,-19.13654,34.6662783333333,356.2,2,I6,1553421448908.jpg,No / Minor,None,None
50744714,357083077029945,3/24/2019,2019-03-24T11:59:14.965+02,2019-03-24T11:59:49.322+02,-19.1879866666667,34.6699066666667,257.8,2.1,H6,1553421573331.jpg,Of concern,Less than 100,House(s)
50744901,357083077029945,3/24/2019,2019-03-24T12:01:08.530+02,2019-03-24T12:02:37.716+02,-19.2424283333333,34.67065,241.8,2,H6,1553421689811.jpg,No / Minor,None,None
50744939,357083077029945,3/24/2019,2019-03-24T12:02:40.621+02,2019-03-24T12:03:16.977+02,-19.27228,34.6755916666667,257.2,2,H5,1553421775671.jpg,Of concern,"Between 101 and 1,000",Building
50744968,357083077029945,3/24/2019,2019-03-24T12:03:39.770+02,2019-03-24T12:04:52.230+02,-19.2977133333333,34.6638466666667,207.5,2.1,H6,1553421873335.jpg,No / Minor,None,None
50745026,357083077029945,3/24/2019,2019-03-24T12:05:02.868+02,2019-03-24T12:05:32.385+02,-19.2990183333333,34.6440033333333,204.7,2,H6,1553421917119.jpg,No / Minor,None,None
50745102,357083077029945,3/24/2019,2019-03-24T12:06:09.150+02,2019-03-24T12:06:54.921+02,-19.3018133333333,34.6126683333333,181.3,2,H6,1553421987904.jpg,Of concern,Less than 100,House(s)
50745206,357083077029945,3/24/2019,2019-03-24T12:06:59.031+02,2019-03-24T12:07:36.978+02,-19.3031983333333,34.5906633333333,157.8,1.9,H6,1553422035917.jpg,Of concern,None,Road
50745290,357083077029945,3/24/2019,2019-03-24T12:08:17.225+02,2019-03-24T12:08:51.153+02,-19.3024666666667,34.5519483333333,154.6,1.9,H6,1553422115676.jpg,No / Minor,None,None
50745370,357083077029945,3/24/2019,2019-03-24T12:09:20.129+02,2019-03-24T12:10:12.858+02,-19.3021783333333,34.5233266666667,154.8,2.2,H5,1553422193051.jpg,Severe,Less than 100,Building
50745452,357083077029945,3/24/2019,2019-03-24T12:10:18.225+02,2019-03-24T12:11:13.778+02,-19.3065983333333,34.4961416666667,122.9,2.1,H5,1553422254522.jpg,Severe,Less than 100,House(s)
50745578,357083077029945,3/24/2019,2019-03-24T12:11:23.013+02,2019-03-24T12:11:52.705+02,-19.313675,34.4923433333333,48,2,H5,1553422297487.jpg,Severe,Less than 100,House(s)
50745818,357083077029945,3/24/2019,2019-03-24T12:13:29.156+02,2019-03-24T12:14:06.713+02,-19.320385,34.4570433333333,98.2,1.9,H6,1553422431288.jpg,Severe,Less than 100,House(s)
50745898,357083077029945,3/24/2019,2019-03-24T12:14:49.243+02,2019-03-24T12:15:20.019+02,-19.31975,34.422595,100.8,1.9,H5,1553422504410.jpg,Severe,Less than 100,House(s)
50745957,357083077029945,3/24/2019,2019-03-24T12:15:41.863+02,2019-03-24T12:16:16.092+02,-19.3227066666667,34.4041816666667,84.1,2,H5,1553422561860.jpg,Severe,Less than 100,Building
50746044,357083077029945,3/24/2019,2019-03-24T12:16:37.353+02,2019-03-24T12:17:39.370+02,-19.3290783333333,34.389745,93.4,2,H5,1553422640943.jpg,Serious,Less than 100,Building
50746102,357083077029945,3/24/2019,2019-03-24T12:20:33.811+02,2019-03-24T12:21:44.057+02,-19.3729483333333,34.4022633333333,135.4,1.9,G5,1553422875370.jpg,Severe,"Between 101 and 1,000",School
50746157,357083077029945,3/24/2019,2019-03-24T12:21:48.866+02,2019-03-24T12:22:22.392+02,-19.3828216666667,34.4095316666667,128.1,2,G5,1553422924545.jpg,Serious,"Between 101 and 1,000",House(s)
50746217,357083077029945,3/24/2019,2019-03-24T12:25:18.703+02,2019-03-24T12:26:01.967+02,-19.3953566666667,34.48052,142.8,2.1,G6,1553423131646.jpg,Serious,Less than 100,Bridge
50746284,357083077029945,3/24/2019,2019-03-24T12:27:35.351+02,2019-03-24T12:28:06.424+02,-19.3902883333333,34.5233416666667,73.5,2.1,G6,1553423267265.jpg,Severe,Less than 100,House(s)
50746399,357083077029945,3/24/2019,2019-03-24T12:28:51.473+02,2019-03-24T12:29:22.891+02,-19.3750966666667,34.5505766666667,108.4,1.9,G6,1553423345923.jpg,Serious,Less than 100,Building
50746526,357083077029945,3/24/2019,2019-03-24T12:30:28.206+02,2019-03-24T12:32:37.522+02,-19.3672016666667,34.614115,116.2,1.9,G6,1553423530691.jpg,Serious,Less than 100,House(s)
50746602,357083077029945,3/24/2019,2019-03-24T12:34:11.483+02,2019-03-24T12:34:40.917+02,-19.3693533333333,34.677185,178.6,2,G6,1553423668431.jpg,No / Minor,None,None
50752712,357083077029945,3/24/2019,2019-03-24T11:26:59.367+02,2019-03-24T11:27:51.457+02,-19.060645,34.3657083333333,194,2.1,I5,1553419651421.jpg,Of concern,Less than 100,House(s)
50752819,357083077029945,3/24/2019,2019-03-24T11:41:09.427+02,2019-03-24T11:41:35.256+02,-18.78753,34.5565916666667,201.7,2.2,J5,1553420482409.jpg,No / Minor,None,None
50752909,357083077029945,3/24/2019,2019-03-24T12:12:38.117+02,2019-03-24T12:13:15.099+02,-19.319255,34.47607,92.5,2,H6,1553422373571.jpg,Severe,Less than 100,Building
50756692,357083077029861,3/24/2019,2019-03-24T15:00:15.667+02,2019-03-24T15:02:35.581+02,-19.7577083333333,34.8023016666667,166.7,4.7,E7,1553432522392.jpg,No / Minor,None,House(s)
