survey_date,survey_round,enum_name,enum_sex,site_id,site_name,provincia,distrito,posto,localizacao,longitude,latitude,site_class,site_type,type_other,open_date,site_mang,site_com,accessible,safe_secure,original_region,original_distrito,origin_trad_area,original_localizacao,return,prevent_return,period_displaced,familias,idps,vulnerables,need1,need2,need3,sleep_outdoors,sleep_emergency_shelter,sleep_permanent_shelter,nfi_needs_1,nfi_needs_2,nfi_needs_3,nfi_needs_4,nfi_needs_5,nfi_needs_6,nfi_needs_7,nfi_needs_8,nfi_needs_9,nfi_needs_all,reason_NFI_needs,other_reasons_NFI_needs,main_water_source,drinking_cooking_washing,enough_water_cook_pers_hyg,enough_water_drink,enough_water_shower,enough_soap,comm_fac_sanitation,area_od,area_garbage,less_3meals,go_market,needs_market,needs_market _reason,needs_market _reason_other,time_health_fac,prevent_healthcare,female_workers_healthcare,women_birth,women_birth_professional,prop_school_u5,prop_school_6_12,prop_school_13_17,lighting_community,separated_toilet,lock_toilet,lit_toilets,separate_baths,bathing_locks,eviction_threat,security,vul,wash,shelter,food,health,edu,prot,ret
2019-04-06,2,n/a,Male,MOZ_S051,Testemunha de jeova,Sofala,Dondo,Dondo,Mutua,34.598308,-19.500842,Spontaneous,Other,Church,2019-03-15,Yes,No,Yes,Yes,Sofala,Dondo,Dondo,Mutua,Yes,House damaged/destroyed,More than 3 months,93,328,5,Food,Seeds,Habitation,Do not know/No answer,About half (around 50%),Nobody (around 0%),0,0,Cooking items (pots/pans,0,"Items for sleeping (mats, blankets,..)",0,Closed containers to transport and /or store water,0,0,"Cooking items (pots/pans, Items for sleeping (mats, blankets,..), Closed containers to transport and /or store water, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Water sources from FIPAG,Most (around 75%),Most (around 75%),Everyone (around 100%),Everyone (around 100%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),Walking,Yes,N/A,N/A,Up to 30 minutes,Health services are only accessible during part of the day or some day,Yes,At health facility,Yes,A few (around 25%),A few (around 25%),A few (around 25%),None (around 0%),A few (around 25%),None (around 0%),None (around 0%),Most (around 75%),None (around 0%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-04,2,n/a,Female,MOZ_S067,Centro de acomodação Muda Nunes,Sofala,Nhamatanda,Tica,N/A,34.395327,-19.372997,Spontaneous,Community Center,N/A,2019-03-21,Yes,Yes,Yes,Yes,Sofala,Nhamatanda,Tica,N/A,Yes,House damaged/destroyed,More than 3 months,2250,11250,869,Food,Water,Cloths,A few (around 25%),Most (around 75%),Nobody (around 0%),0,0,0,0,"Items for sleeping (mats, blankets,..)",Mosquito nets,0,Shoes and clothes,0,"Items for sleeping (mats, blankets,..), Mosquito nets, Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Public tap/Standpipe,Public tap/Standpipe,Everyone (around 100%),Everyone (around 100%),About half (around 50%),About half (around 50%),No facility / bush / field (aggregate/adapt to the context as needed),A few (around 25%),A few (around 25%),Nobody (around 0%),Walking,Not most people,Do not have enough money/Prices are too high,N/A,Do not know/No answer,Nothing is preventing people,Yes,At health facility,No,A few (around 25%),A few (around 25%),A few (around 25%),Do not know/No answer,Do not know/No answer,None (around 0%),None (around 0%),None (around 0%),Do not know/No answer,Yes,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-04,2,n/a,Female,MOZ_S063,Escola secundária geral de Metuchira,Sofala,Nhamatanda,Nhamatanda,N/A,34.209925,-19.174427,Spontaneous,School,N/A,2019-03-14,Yes,No,Yes,Yes,Sofala,Nhamatanda,Nhamatanda,N/A,Yes,Basic infrastructures damaged/flooded,Between 1 and 2 weeks,60,230,0,Food,Shelter,Cloths,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,0,0,0,"Items for sleeping (mats, blankets,..)",Mosquito nets,0,Shoes and clothes,0,"Items for sleeping (mats, blankets,..), Mosquito nets, Shoes and clothes, ",There is no market or access to market from the site,N/A,Tube well/Borehole,Public tap/Standpipe,A few (around 25%),A few (around 25%),A few (around 25%),Nobody (around 0%),Flush to septic tank,Nobody (around 0%),A few (around 25%),About half (around 50%),Walking,No,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,There are no reachable health services,Yes,At health facility,Yes,Nobody (around 0%),A few (around 25%),Most (around 75%),Most (around 75%),All (100%),About half (around 50%),Do not know/No answer,All (100%),About half (around 50%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S013,Centro Educacional Rei dos Reis,Sofala,Cidade da Beira,Cidade da Beira,N/A,34.872,-19.741,Spontaneous,Other,Private building,2019-03-15,Yes,No,Limited access (by foot only or only small means of transportation),Yes,Sofala,Cidade da Beira,Cidade da Beira,N/A,Yes,House damaged/destroyed,Less than 1 week,162,814,96,Food,Health,Building,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,0,0,0,"Items for sleeping (mats, blankets,..)",Mosquito nets,Closed containers to transport and /or store water,0,0,"Items for sleeping (mats, blankets,..), Mosquito nets, Closed containers to transport and /or store water, ",Other,Lack of access routes,Water sources from FIPAG,Sachet water,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Flush to septic tank,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,No medicines available in healthcare center,Yes,At health facility,Yes,Nobody (around 0%),Most (around 75%),Most (around 75%),None (around 0%),All (100%),All (100%),None (around 0%),About half (around 50%),All (100%),Yes,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Female,MOZ_S026,Centro de Vitima de Violencia,Sofala,Cidade da Beira,Cidade da Beira,Munhava,34.86611111,-19.79305556,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Munhava,Yes,Basic infrastructures damaged/flooded,Between 2 and 1 month,110,445,40,Food,Medicines,Shelters,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",0,0,0,Soap/detergent for washing clothes,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Soap/detergent for washing clothes","There is access to the market, but these items are not sold on the market/rarely available",N/A,Water sources from FIPAG,Water sources from FIPAG,Everyone (around 100%),Everyone (around 100%),About half (around 50%),A few (around 25%),Pit latrine without slab / open pit,About half (around 50%),A few (around 25%),A few (around 25%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,No medicines available in healthcare center,Yes,At health facility,Yes,Nobody (around 0%),Most (around 75%),Most (around 75%),A few (around 25%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),Do not know/No answer,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S007,EPC Macurongo,Sofala,Cidade da Beira,Cidade da Beira,Central,34.88,-19.83638889,Spontaneous,School,N/A,2019-03-14,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Central macurrungo,Yes,House damaged/destroyed,Between 2 and 1 month,16,52,14,Shelter,Food,Hygien products,Nobody (around 0%),Nobody (around 0%),Most (around 75%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",Mosquito nets,0,0,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Mosquito nets, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Tube well/Borehole,Everyone (around 100%),Everyone (around 100%),About half (around 50%),Nobody (around 0%),Flush to septic tank,Nobody (around 0%),A few (around 25%),About half (around 50%),Walking,No,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,A few (around 25%),About half (around 50%),A few (around 25%),None (around 0%),About half (around 50%),None (around 0%),None (around 0%),None (around 0%),A few (around 25%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Female,MOZ_S003,ES Azem,Sofala,Cidade da Beira,Cidade da Beira,Inhamizua,34.86305556,-19.75888889,Spontaneous,School,N/A,2019-03-14,Yes,No,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Inhamizua,Do not know/No answer,House damaged/destroyed,Less than 1 week,6,30,6,Food,Medicines,House,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,Cooking stoves,0,Hygiene products (for personal hygiene),0,0,0,Shoes and clothes,0,"Cooking stoves, Hygiene products (for personal hygiene), Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Public tap/Standpipe,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Most (around 75%),Flush to septic tank,Nobody (around 0%),A few (around 25%),About half (around 50%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,Nothing is preventing people,No,At health facility,Yes,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),None (around 0%),None (around 0%),All (100%),None (around 0%),None (around 0%),All (100%),Yes,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S022,HD China,Sofala,Cidade da Beira,Cidade da Beira,Manga,34.874833,-19.746417,Spontaneous,Other,Private building,2019-03-15,Yes,No Answer,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga,Yes,House damaged/destroyed,Less than 1 week,35,180,19,Food,Medicines,Buildig material,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,0,0,0,0,Mosquito nets,Closed containers to transport and /or store water,0,Soap/detergent for washing clothes,"Mosquito nets, Closed containers to transport and /or store water, Soap/detergent for washing clothes",There is no market or access to market from the site,N/A,Water sources from FIPAG,Piped water to neighbor,Everyone (around 100%),Most (around 75%),Nobody (around 0%),Nobody (around 0%),No facility / bush / field (aggregate/adapt to the context as needed),Everyone (around 100%),Nobody (around 0%),Everyone (around 100%),Walking,Yes,N/A,N/A,More than 30 minutes,Cost/Money,Yes,At health facility,Yes,Nobody (around 0%),Most (around 75%),Most (around 75%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),Yes,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Female,MOZ_S023,EPC Munhava Central,Sofala,Cidade da Beira,Cidade da Beira,Munhava,34.86407,-19.81405,Spontaneous,School,N/A,2019-03-14,Yes,No Answer,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Munhava,Yes,Lack of food,Between 2 and 1 month,17,90,6,Food,Mosquitos nets,Tent,Nobody (around 0%),Nobody (around 0%),A few (around 25%),0,0,0,0,"Items for sleeping (mats, blankets,..)",Mosquito nets,0,Shoes and clothes,0,"Items for sleeping (mats, blankets,..), Mosquito nets, Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Piped water into dwelling,Piped water into dwelling,A few (around 25%),Most (around 75%),Most (around 75%),A few (around 25%),Flush to septic tank,Most (around 75%),A few (around 25%),Everyone (around 100%),Walking,No,Do not have enough money/Prices are too high,N/A,There is no reachable health facility,No medicines available in healthcare center,No,At health facility,No,A few (around 25%),About half (around 50%),A few (around 25%),A few (around 25%),None (around 0%),A few (around 25%),A few (around 25%),None (around 0%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S024,EPC Amílcar Cabral,Sofala,Cidade da Beira,Cidade da Beira,Munhava,34.86638889,-19.81472222,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Munhava,Yes,House damaged/destroyed,Between 1 and 3 months,208,646,20,Food,Clothes,Shelters,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,0,0,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,Soap/detergent for washing clothes,"Items for sleeping (mats, blankets,..), Shoes and clothes, Soap/detergent for washing clothes","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Public tap/Standpipe,A few (around 25%),Everyone (around 100%),Everyone (around 100%),A few (around 25%),Flush to septic tank,A few (around 25%),Nobody (around 0%),Everyone (around 100%),Walking,Yes,N/A,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Most (around 75%),Most (around 75%),Most (around 75%),None (around 0%),All (100%),None (around 0%),None (around 0%),All (100%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Female,MOZ_S018,EPC do Vaz,Sofala,Cidade da Beira,Cidade da Beira,N/A,34.86777778,-19.79333333,Spontaneous,School,N/A,2019-03-15,Yes,No,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Munhava,Yes,Basic infrastructures damaged/flooded,More than 3 months,60,247,37,Shelter,Food,Medicines,Nobody (around 0%),About half (around 50%),Most (around 75%),0,0,0,Hygiene products (for personal hygiene),0,0,0,Shoes and clothes,Soap/detergent for washing clothes,"Hygiene products (for personal hygiene), Shoes and clothes, Soap/detergent for washing clothes","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Water sources from FIPAG,Everyone (around 100%),Most (around 75%),Nobody (around 0%),Nobody (around 0%),Flush to septic tank,Most (around 75%),Nobody (around 0%),Nobody (around 0%),Walking,No,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,There are no reachable health services,Yes,At health facility,Yes,Nobody (around 0%),Most (around 75%),About half (around 50%),All (100%),All (100%),None (around 0%),A few (around 25%),A few (around 25%),None (around 0%),Yes,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
