partner,sector,province,district,org_no
"DPS, MISAU, UNICEF",Saúde,Zambezia,Lugela,3
"DPS, MISAU, UNICEF",Saúde,Tete,Macanga,3
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Saúde,Sofala,Machanga,6
"AIDSFREE, DPS, MISAU, UNICEF, USAID",Saúde,Manica,Machaze,5
"AIDSFREE, DPS, MISAU, UNICEF, USAID",Saúde,Manica,Macossa,5
"DPS, MISAU, UNICEF",Saúde,Zambezia,Maganja Da Costa,3
"DPS, MISAU, UNICEF",Saúde,Tete,Magoe,3
"AIDSFREE, DPS, MISAU, UNICEF",Saúde,Manica,Manica,4
"DPS, MISAU, UNICEF",Saúde,Tete,Maravia,3
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, SAAF, UNICEF, WHO",Saúde,Sofala,Maringue,8
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Saúde,Sofala,Marromeu,6
"HLAYSA, USAID",Saúde,Inhambane,Massinga,2
"HLAYSA, USAID",Saúde,Inhambane,Maxixe,2
"DPS, MISAU, UNICEF",Saúde,Zambezia,Milange,3
"AIDSFREE, DPS, IOM, MISAU, UNICEF, USAID",Saúde,Tete,Moatize,6
"DPS, MISAU, UNICEF, WORLD VISION MOZAMBIQUE",Saúde,Zambezia,Mocuba,4
"DPS, MISAU, UNICEF",Saúde,Zambezia,Mopeia,3
"DPS, MISAU, UNICEF, WORLD VISION MOZAMBIQUE",Saúde,Zambezia,Morrumbala,4
"HLAYSA, USAID",Saúde,Inhambane,Morrumbene,2
"AIDSFREE, DPS, FHI 360, IOM, MISAU, UNICEF, USAID",Saúde,Manica,Mossurize,7
"AAF, CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, SAAF, SAHMS, UNICEF, WHO",Saúde,Sofala,Muanza,10
"AIDSFREE, DPS, MISAU, UNICEF, USAID, WORLD VISION MOZAMBIQUE",Saúde,Tete,Mutarara,6
"CCM, CHAI (CLINTON HEALTH ACCESS INITIATIVE), CHALLENGE TB, CHASS, CHEMONICS INTERNATIONAL, COMUSANA, DPS, DPS MANICA, DPS SOFALA, DPS TETE, DPS ZAMBEZIA, FHI 360, HLAYSA, IMAP, INS, ISRA AID, JOHANNITER, KUGARISSICA, MINISTRY OF HEALTH, MISAU, n/a, PASSOS, PATHFINDER, PATHFINDER INTERNATIONAL (PI), PMI VECTORLINK, PROVINCIAL HEALTH DIRECTORATE, PSM, SAAF, SAAF, SOUTH AFRICA TEAM - MILITARY, UNFPA, UNICEF, USAID, VILLAGEREACH, WHO, WHO",Saúde,,n/a,36
"DPS, MISAU, UNICEF",Saúde,Zambezia,Namacurra,3
"DPS, MISAU, UNICEF",Saúde,Zambezia,Namarroi,3
"ACF, AGS, ANANDJIRA, CANADIAN RED CROSS, CHAI (CLINTON HEALTH ACCESS INITIATIVE), CRUZ VERMELHA DE MOZAMBIQUE, CRUZ VERMELHA DE PORTUGAL, CUAMM, CUAMM MEDICOS COM AFRICA, DPS, FINISH RED CROSS, HILFSWERK INTERNATIONAL, INS, INTERNATIONAL FEDERATION OF THE RED CROSS AND THE RED CRESCENT SOCIETIES, KULIMA, KUPLUMUSSANA, MDM INTL, MEDICOS DEL MUNDO, MENTOR INITIATIVE, MISAU, MSF, PROVINCIAL HEALTH DIRECTORATE, RED CROSS EMERGENCY HOSPITAL, RESCUENET, SAAF, SAVE THE CHILDREN, SDSMAS, UNICEF, WHO",Saúde,Maputo,Nhamatanda,29
"DPS, MISAU, UNICEF",Saúde,Zambezia,Nicoadala,3
"DPS, MISAU, UNICEF",Saúde,Zambezia,Pebane,3
"AIDSFREE, DPS, MISAU, SAAF, SAHMS, SAVE THE CHILDREN, UNICEF, USAID, WHO",Saúde,Manica,Sussundenga,9
"DPS, MISAU, UNICEF",Saúde,Manica,Tambara,3
"DPS, MISAU, UNICEF",Saúde,Tete,Tsangano,3
"HLAYSA, USAID",Saúde,Inhambane,Vilankulo,2
"HLAYSA, USAID",Saúde,Inhambane,Zavala,2
"DPS, MISAU, UNICEF",Saúde,Tete,Zumbu,3
